pool_address,token_address,symbol,network,t0_timestamp,t0_date,t0_price_usd,t0_liquidity_usd,t0_mcap_usd,t0_volume_usd_15m,t0_top10_holder_pct,t0_dev_wallet_pct,t0_lp_locked_days,t0_is_token_2022,t0_has_malicious_extensions,liq_mcap_ratio,status,tfinal_timestamp,tfinal_date,tfinal_24h_price_usd,tfinal_24h_vol_usd,roi_24h,outcome_label,outcome_reason,raw_symbol,age_hours,t0_has_rtl_scam,t0_buy_sell_ratio,t0_holder_count_exact,t0_holder_count_floor,t0_holder_count_capped,t0_avg_tx_size,t0_single_wallet_vol_pct,pool_slot,creator_funding_slot,pool_time,t0_ratio_window,drop_reason
AWGg6We7CDGzFnKpLywz8mDPTJp5XbQ7kLb12WFP5weA,E6fFRtJu8Jjum3EK2iTgubKsUthDYCf4AApMeUGGpump,Omar,solana,1786057677,2026-08-06T23:07:57.181640+00:00,2.037953535789921e-06,1616.5377,2037.953536,14.3509070083,100.0,100.0,365,True,False,0.7932,RESOLVED,1786058491.0,2026-08-06T23:23:27.723680+00:00,2.037953535789921e-06,14.3509070083,1.0,Flat / mediocre,Survived but ROI only 1.00x,,,,,,,,,,,,,,
CLAqrYY4fmzcRFj5e1rTJxuYd27YaCgArmWiYvsyZtVa,249Am9p2oSw2j5eBYUXrDGMY7ABxDne2HfQg7CD4pump,Kyle,solana,1786057678,2026-08-06T23:07:58.654941+00:00,6.304086408428504e-07,498.826,1260.8172816,162.948633277,100.0,50.09,365,True,False,0.3956,RESOLVED,1786249686.0,2026-08-09T04:28:07.489561+00:00,6.304086408e-07,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
BXAe3iRymBCVmQnn9p2C8y9xf1gW6uKfEqELWa68zXF2,Bk9ZBN1CCnu7xS44n8CeZVq4LbaLXVowqtUWzXkEWJ11,PTSD,solana,1786057680,2026-08-06T23:08:00.027173+00:00,2.1653273357371033e-06,1717.3202,2165.327336,1452.2213480792,100.0,100.0,365,True,False,0.7931,RESOLVED,1786249686.0,2026-08-09T04:28:09.669271+00:00,2.165336785e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
HfxyUJFpyQtRLRfSpSP5UdNeB65CSvKFH99E8r9N2Kto,7yaekLV5dfPq7o9HoXfBt2vSW1vQNqebL3NkgWq6pump,GOBIGOTES,solana,1786057681,2026-08-06T23:08:01.457311+00:00,5.226250210822336e-07,827.3754,1045.2500422,206.8937357106,100.0,51.49,365,True,False,0.7916,RESOLVED,1786249686.0,2026-08-09T04:28:12.094330+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
EkphU8eomx1zGtKCwkeAuooTHXj59rY4b1gx8K2zxGSu,HukqxsE6FEfinx5oJG8dFzjVWDXtETBEPEQitHuSpump,FOMO,solana,1786057682,2026-08-06T23:08:02.841432+00:00,2.0312646352563076e-06,1610.99598222178,2031.264635,0.007265132294,100.0,100.0,365,True,False,0.7931,RESOLVED,1786249686.0,2026-08-09T04:28:15.648359+00:00,2.033736832e-06,0.0,1.0012,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
BkLNCyjjfN2jc1CzvSJngDLSHwyd4PvUhdvriBeAfobr,CvZobRHBgWfuQNjQVbuGAesHDcLAqfMiNJvf8xNckDDr,ADHD,solana,1786057684,2026-08-06T23:08:04.385071+00:00,2.16531079701357e-06,1717.3057,2165.310797,1452.2209171372,100.0,100.0,365,True,False,0.7931,RESOLVED,1786249686.0,2026-08-09T04:28:17.928993+00:00,2.165311036e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
5BB9xY4LNo6CoMTESAnGwDDPHrBh69y7V44Ji1ypAACh,6u9RYHVjp3eq5cmupkAqroSzLW9RcxTCX1DS7oqvpump,Rocketman,solana,1786057685,2026-08-06T23:08:05.840920+00:00,6.121402583909677e-06,3534.5509,6035.14011,3539.3884139937,64.09,46.81,365,True,False,0.5857,RESOLVED,1786357172.0,2026-08-10T10:19:45.030664+00:00,2.130315074792985e-06,0.0,0.348,Flat / mediocre,Survived but 24.0h ROI only 0.35x,,,,,,,,,,,,,,
5mpKb2EwjNox4VUVNn6e3XgDkYuQMXZ1Hnw8trzyTG5M,5YVHVH2mkL4yGsMEDPQ5TywYWXnduvEY1or6naW2pump,Agarthа,solana,1786057687,2026-08-06T23:08:07.230496+00:00,2.0995189643726747e-06,1669.5521,2099.518964,603.1692632502,100.0,98.41,365,True,False,0.7952,RESOLVED,1786357172.0,2026-08-10T10:19:55.425961+00:00,2.054767751e-06,0.0,0.9787,Flat / mediocre,Survived but 24.0h ROI only 0.98x,,,,,,,,,,,,,,
Gkd5Gey2itwJVBKG7GW8BKPBCTYdbgoETRQcm65ShiPG,J79MzxRT3cRWRqjxhrupyK6mmVsjahqpHLMN1UGqAQoL,CASHCAT,solana,1786057688,2026-08-06T23:08:08.610528+00:00,6.700735792071727e-06,382.866115114324,6700.735792,0.0363489315,96.28,82.35,365,False,False,0.0571,RESOLVED,1786357172.0,2026-08-10T10:20:04.414577+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
8ayKjpqZoMxfToXyDcwUasg5Fetv7SsLK6uFMoaJ5hpA,5ThAV3NYV5TfuesizHf3jzLx4aEtgVWFVXKrKb5ppump,loyalDoge,solana,1786057690,2026-08-06T23:08:10.639809+00:00,2.6063070295354645e-06,1702.771,3795.313706,90.6395812768,100.0,53.94,365,True,False,0.4487,RESOLVED,1786357172.0,2026-08-10T10:20:18.885117+00:00,4.267684704e-06,0.0,1.6374,Flat / mediocre,Survived but 24.0h ROI only 1.64x,,,,,,,,,,,,,,
